Column1,loan_amnt,int_rate,emp_length,home_ownership,annual_inc,loan_status,dti,delinq_2yrs,fico_range_low,fico_range_high,fico_avg,purpose,tot_cur_bal,tot_hi_cred_lim,revol_util,grade
282,3000,21.6,1 year,RENT,40000,Fully Paid,24.36,0,675,679,677,other,46435,53464,43.3,E
284,11000,8.19,7 years,MORTGAGE,99400,Fully Paid,26.14,0,740,744,742,debt_consolidation,172613,277152,25.8,A
286,12725,14.49,< 1 year,RENT,150000,Fully Paid,7.94,0,675,679,677,debt_consolidation,90224,100681,51.9,C
287,16375,21,7 years,MORTGAGE,62000,Fully Paid,19.35,0,685,689,687,debt_consolidation,103765,115034,76.5,E
289,5600,10.99,4 years,MORTGAGE,95000,Fully Paid,16.71,0,695,699,697,debt_consolidation,165644,175020,96.4,B
290,10000,15.8,7 years,RENT,50000,Fully Paid,17.86,0,680,684,682,debt_consolidation,21699,29454,86.9,C
292,10000,23.88,6 years,MORTGAGE,62000,Fully Paid,24.54,0,695,699,697,credit_card,196650,235204,32.8,E
293,6000,14.49,,MORTGAGE,50000,Fully Paid,9.46,0,685,689,687,debt_consolidation,201311,230800,77,C
295,9125,18.99,3 years,OWN,100000,Charged Off,13.86,0,705,709,707,home_improvement,71912,81116,65,E
296,11850,14.49,8 years,RENT,27000,Fully Paid,26.89,0,685,689,687,credit_card,20967,28643,88.5,C
297,11875,24.99,8 years,OWN,55000,Fully Paid,17.43,1,675,679,677,other,276946,292827,68.2,F
298,9450,16.29,7 years,MORTGAGE,27000,Fully Paid,29.07,3,670,674,672,credit_card,95021,110572,31,D
299,30000,20.99,3 years,MORTGAGE,92000,Charged Off,15.01,1,675,679,677,debt_consolidation,54454,65624,97.8,E
300,12000,10.74,7 years,OWN,63000,Fully Paid,29.24,0,715,719,717,debt_consolidation,,,77.2,B
301,10000,11.53,2 years,RENT,37000,Fully Paid,17.13,0,690,694,692,credit_card,23213,44826,20.3,B
303,3500,13.99,5 years,MORTGAGE,50000,Fully Paid,21.88,1,685,689,687,vacation,23626,48374,35.5,C
306,15000,10.99,2 years,RENT,70000,Fully Paid,6.34,1,685,689,687,debt_consolidation,12206,45300,26.9,B
311,20000,12.59,9 years,MORTGAGE,81000,Fully Paid,23.15,1,675,679,677,other,104585,110665,0,C
312,10000,8.99,10+ years,RENT,57472,Fully Paid,10.15,0,670,674,672,credit_card,9581,15615,65.1,B
313,17000,9.17,,MORTGAGE,120000,Fully Paid,17.49,0,715,719,717,debt_consolidation,339155,420230,30.3,B
315,16000,7.89,10+ years,RENT,75000,Fully Paid,9.96,4,680,684,682,debt_consolidation,14456,60417,22.2,A
317,18000,25.57,3 years,RENT,67000,Charged Off,26.92,0,680,684,682,debt_consolidation,126271,141379,92.3,F
319,35000,25.8,1 year,OWN,90000,Fully Paid,21.97,0,685,689,687,debt_consolidation,292833,337772,73.8,G
320,3400,12.74,10+ years,MORTGAGE,90000,Fully Paid,13.56,1,675,679,677,debt_consolidation,104828,165482,66,C
321,21975,19.19,10+ years,RENT,68000,Charged Off,23.63,0,670,674,672,debt_consolidation,39373,62570,31.6,E
323,11200,15.8,10+ years,MORTGAGE,60000,Fully Paid,9.68,0,675,679,677,credit_card,184758,209000,74.4,C
325,10000,12.99,,MORTGAGE,31000,Charged Off,11.65,0,685,689,687,debt_consolidation,9779,20800,47,C
327,12000,12.49,2 years,RENT,120000,Fully Paid,17,1,660,664,662,debt_consolidation,39901,72001,43.7,B
329,29950,20.2,< 1 year,RENT,140000,Charged Off,13.39,2,670,674,672,debt_consolidation,56092,101426,22,E
332,10625,16.4,8 years,MORTGAGE,34560,Fully Paid,21.7,0,665,669,667,debt_consolidation,,,86,E
333,12000,8.49,8 years,MORTGAGE,52000,Charged Off,23.1,0,680,684,682,debt_consolidation,107361,127298,31,B
337,20000,10.99,10+ years,MORTGAGE,64000,Fully Paid,26.48,0,690,694,692,debt_consolidation,37231,78086,29.6,B
338,13800,17.27,10+ years,MORTGAGE,62796,Fully Paid,22.07,0,665,669,667,debt_consolidation,273162,290462,70.1,C
340,12600,13.33,1 year,MORTGAGE,35000,Fully Paid,28.6,0,770,774,772,other,238630,267360,14,C
342,12000,17.27,5 years,RENT,38000,Fully Paid,13.11,0,675,679,677,debt_consolidation,,,87.9,C
343,35000,25.28,10+ years,RENT,145000,Fully Paid,18.38,1,680,684,682,other,142059,160657,60.6,F
346,15000,13.23,< 1 year,RENT,85000,Fully Paid,14.91,4,715,719,717,debt_consolidation,,,39.1,C
348,12000,19.03,10+ years,RENT,74000,Fully Paid,15.68,1,670,674,672,debt_consolidation,77402,95672,29.5,D
349,4000,5.42,2 years,MORTGAGE,34600,Fully Paid,12.97,0,760,764,762,debt_consolidation,,,9.6,A
350,4000,6.24,2 years,RENT,60000,Fully Paid,9.57,0,770,774,772,debt_consolidation,14889,50402,5.6,A
352,12000,20.31,5 years,MORTGAGE,200000,Fully Paid,26.35,1,660,664,662,debt_consolidation,154573,255521,140.4,D
353,12000,13.67,4 years,MORTGAGE,70000,Charged Off,25,0,685,689,687,debt_consolidation,221060,271200,40.7,C
354,25000,9.17,10+ years,RENT,96000,Fully Paid,17.61,0,725,729,727,debt_consolidation,49118,80897,38.1,B
355,3000,15.61,5 years,RENT,56000,Fully Paid,6.54,1,705,709,707,other,54863,62135,43.7,D
356,16000,11.49,4 years,RENT,130000,Fully Paid,6.77,0,665,669,667,debt_consolidation,34412,61206,76,B
357,18000,12.29,5 years,RENT,120000,Fully Paid,3.45,0,725,729,727,debt_consolidation,6566,26430,23.1,C
358,21000,6.62,10+ years,MORTGAGE,151000,Fully Paid,12.66,0,715,719,717,debt_consolidation,433830,546100,41.4,A
359,8500,12.29,8 years,MORTGAGE,85000,Fully Paid,23.45,2,735,739,737,credit_card,227201,262882,25.1,C
361,25475,14.33,< 1 year,RENT,58000,Fully Paid,18.54,1,695,699,697,debt_consolidation,46626,82630,49.2,C
363,11400,15.31,1 year,RENT,46000,Charged Off,14.32,0,675,679,677,debt_consolidation,25775,28527,79.1,C
365,18000,17.97,10+ years,MORTGAGE,90000,Fully Paid,9.01,0,670,674,672,debt_consolidation,380162,391234,74.7,D
367,13000,14.08,< 1 year,MORTGAGE,75000,Fully Paid,28.27,1,725,729,727,other,330065,366760,76.5,C
368,10000,11.49,1 year,RENT,51000,Fully Paid,24.68,0,670,674,672,debt_consolidation,73173,91320,69,B
369,20000,17.99,10+ years,OWN,83200,Fully Paid,30.49,0,670,674,672,debt_consolidation,52224,75301,83.2,D
373,15000,9.71,3 years,RENT,71000,Fully Paid,16.88,0,720,724,722,debt_consolidation,37318,120286,20.7,B
375,19950,21.99,10+ years,MORTGAGE,50000,Fully Paid,12.84,0,710,714,712,debt_consolidation,41392,60905,31.9,E
378,35000,11.53,4 years,MORTGAGE,140000,Fully Paid,14.56,0,705,709,707,credit_card,328868,381801,62,B
382,10000,13.99,10+ years,RENT,78000,Fully Paid,22.86,0,675,679,677,debt_consolidation,53563,79586,84.2,C
389,13350,10.16,10+ years,MORTGAGE,90000,Fully Paid,20.21,0,705,709,707,debt_consolidation,579684,637143,79.8,B
392,1500,12.05,,OWN,22800,Charged Off,23.63,0,680,684,682,home_improvement,12970,16300,79.6,C
393,19700,23.1,< 1 year,MORTGAGE,45000,Fully Paid,25.81,0,670,674,672,debt_consolidation,189799,202634,86.6,E
394,26400,6.03,4 years,OWN,62000,Fully Paid,21.95,0,750,754,752,credit_card,62103,124894,42.4,A
395,9600,12.49,< 1 year,RENT,72000,Fully Paid,16.56,0,720,724,722,debt_consolidation,55676,103226,27.6,B
397,5000,5.99,3 years,OWN,50000,Fully Paid,12.7,0,790,794,792,debt_consolidation,,,4.6,A
399,7100,21.48,6 years,MORTGAGE,50000,Fully Paid,24.56,0,660,664,662,debt_consolidation,194905,204452,87.6,E
401,26000,14.3,10+ years,MORTGAGE,63356,Fully Paid,8.88,0,685,689,687,credit_card,23679,31200,75.9,C
406,16000,9.17,2 years,MORTGAGE,145000,Charged Off,12.31,1,690,694,692,debt_consolidation,138441,185111,35.8,B
407,20000,12.29,3 years,MORTGAGE,50000,Fully Paid,11.83,0,805,809,807,other,4859,46300,1.5,C
409,11200,12.74,10+ years,RENT,38000,Fully Paid,20.4,0,670,674,672,credit_card,15700,34479,41,C
412,18000,11.67,2 years,RENT,64272,Fully Paid,10.81,2,670,674,672,credit_card,19167,41100,46.6,B
413,9600,13.11,6 years,RENT,48000,Charged Off,15.3,0,690,694,692,debt_consolidation,14511,28400,84.6,B
414,18000,11.67,2 years,MORTGAGE,50000,Fully Paid,21.7,0,680,684,682,debt_consolidation,200183,215564,46.9,B
416,10000,13.11,2 years,RENT,55000,Charged Off,22.76,0,675,679,677,debt_consolidation,56029,67147,54.9,B
418,28775,25.83,2 years,RENT,80000,Charged Off,26.94,0,680,684,682,debt_consolidation,177725,186828,57.3,G
420,20000,19.52,10+ years,RENT,50000,Charged Off,6.7,1,680,684,682,debt_consolidation,10196,18100,34.5,E
421,28000,18.99,10+ years,MORTGAGE,84000,Fully Paid,22.61,0,670,674,672,debt_consolidation,222585,268400,67,D
422,9850,15.31,4 years,RENT,41375,Fully Paid,27.93,0,675,679,677,debt_consolidation,39825,44324,92.8,C
423,17000,10.64,10+ years,MORTGAGE,64000,Charged Off,22.6,0,700,704,702,debt_consolidation,297644,333133,72.6,B
425,4000,11.99,3 years,MORTGAGE,35000,Fully Paid,27.78,1,670,674,672,credit_card,88142,92357,80.6,B
426,21000,10.99,5 years,MORTGAGE,120000,Fully Paid,14.78,0,730,734,732,major_purchase,178731,240862,45.7,B
430,15000,12.12,10+ years,RENT,61000,Fully Paid,14.77,0,680,684,682,debt_consolidation,20278,34252,82,B
433,10000,14.65,10+ years,MORTGAGE,135000,Charged Off,14.97,1,680,684,682,debt_consolidation,99564,109251,80.3,C
439,20000,13.67,10+ years,OWN,100000,Fully Paid,31.66,0,675,679,677,debt_consolidation,77034,117916,74.5,B
447,10000,13.35,6 years,MORTGAGE,30000,Charged Off,19.88,0,675,679,677,home_improvement,29697,39706,48.4,C
452,5400,14.65,7 years,RENT,48000,Fully Paid,24.28,0,670,674,672,credit_card,,,63.6,C
454,15000,20.5,3 years,RENT,55000,Charged Off,24.31,0,675,679,677,debt_consolidation,132850,130677,61.6,E
459,10000,12.99,5 years,MORTGAGE,40000,Fully Paid,22.11,1,705,709,707,debt_consolidation,173407,206719,10.2,C
460,17200,8.19,2 years,RENT,80000,Fully Paid,20.3,0,705,709,707,credit_card,81117,91305,76.3,A
461,10000,10.99,10+ years,RENT,45000,Fully Paid,6.85,0,670,674,672,credit_card,7490,8600,87.1,B
463,29800,18.25,< 1 year,RENT,71000,Charged Off,21.16,0,675,679,677,debt_consolidation,55552,71857,67.8,E
466,8000,12.29,7 years,RENT,50000,Fully Paid,8.83,0,675,679,677,debt_consolidation,11200,12300,91.1,C
467,16000,5.32,10+ years,MORTGAGE,100000,Fully Paid,4.32,0,760,764,762,credit_card,316547,349800,46.3,A
469,8400,5.32,,OWN,35000,Fully Paid,32.06,0,745,749,747,credit_card,36238,72794,42.7,A
472,5000,18.25,6 years,RENT,45000,Fully Paid,13.65,0,700,704,702,debt_consolidation,19587,25887,36.7,D
474,24700,13.67,10+ years,MORTGAGE,44646,Fully Paid,38.06,0,715,719,717,debt_consolidation,48437,78235,74.1,C
475,9000,19.52,9 years,RENT,42000,Fully Paid,19.66,0,675,679,677,debt_consolidation,81172,95229,42.9,D
476,15000,13.99,1 year,MORTGAGE,63000,Fully Paid,6,0,715,719,717,debt_consolidation,153919,166600,87.4,C
477,5000,5.32,4 years,MORTGAGE,112000,Fully Paid,15.49,0,710,714,712,other,533238,577813,79,A
479,17600,19.99,3 years,RENT,55000,Fully Paid,18.72,1,675,679,677,debt_consolidation,20109,52967,18.8,E
483,40000,9.49,10+ years,MORTGAGE,100000,Fully Paid,13.51,6,725,729,727,major_purchase,369682,715192,6.1,B
484,12000,10.49,10+ years,MORTGAGE,110000,Charged Off,15.28,0,685,689,687,debt_consolidation,54161,127815,29.7,B
