Column1,loan_amnt,int_rate,emp_length,home_ownership,annual_inc,loan_status,grade,dti,delinq_2yrs,fico_range_low,fico_range_high,fico_avg,purpose,tot_cur_bal,tot_hi_cred_lim,revol_util
70,12000,10.49,10+ years,MORTGAGE,60000,1,B,16.18,0,695,699,697,debt_consolidation,169462,197193,56.5
73,15000,14.99,4 years,OWN,57000,1,C,28.06,0,675,679,677,debt_consolidation,37251,74499,10.3
74,20000,9.17,10+ years,OWN,60000,0,B,18.58,0,705,709,707,home_improvement,184527,231319,42.8
76,2800,15.61,3 years,RENT,52000,1,D,22.16,0,675,679,677,credit_card,85044,84932,62.4
77,35000,24.49,4 years,MORTGAGE,229000,1,E,22.23,1,670,674,672,credit_card,868359,924981,84
78,15950,11.99,10+ years,RENT,38000,0,C,18.26,0,705,709,707,debt_consolidation,41190,53063,54.3
80,5000,13.98,6 years,OWN,90000,0,C,16.07,0,705,709,707,vacation,219054,245590,41.8
81,3000,11.49,< 1 year,RENT,114000,1,B,12.61,0,700,704,702,debt_consolidation,160714,163342,39.5
86,20000,15.61,10+ years,MORTGAGE,128000,1,D,20.98,2,685,689,687,debt_consolidation,29726,78684,38
87,10000,9.17,7 years,MORTGAGE,65000,1,B,12.95,0,725,729,727,debt_consolidation,159606,218008,64.9
90,3525,22.35,10+ years,MORTGAGE,48000,0,E,21.38,1,740,744,742,other,283110,339191,40.4
91,12000,14.49,< 1 year,RENT,48000,0,C,22.45,0,670,674,672,credit_card,41970,54969,69.4
93,7200,15.99,2 years,MORTGAGE,58000,1,C,30.68,0,725,729,727,debt_consolidation,287788,313686,50.1
95,11325,22.4,10+ years,MORTGAGE,50000,0,E,20.23,0,685,689,687,debt_consolidation,86376,107087,65
96,24000,13.99,3 years,MORTGAGE,50000,1,C,27.84,0,695,699,697,debt_consolidation,213342,222892,99.4
101,7200,12.29,1 year,RENT,23000,1,C,14.61,0,670,674,672,debt_consolidation,8507,16219,60.4
102,26125,25.57,10+ years,RENT,74000,0,F,19.61,1,685,689,687,debt_consolidation,35448,57840,32.9
105,6000,17.99,3 years,MORTGAGE,39000,1,D,16.22,0,680,684,682,credit_card,104379,115086,67.6
106,20000,10.42,3 years,RENT,108000,1,B,19.44,0,670,674,672,debt_consolidation,64337,103958,79.4
108,24000,9.16,2 years,RENT,62500,1,B,25.35,0,775,779,777,debt_consolidation,41313,131311,18.8
111,14050,25.57,10+ years,RENT,32000,1,F,30.13,0,695,699,697,debt_consolidation,29806,37700,90.9
113,25000,25.57,5 years,MORTGAGE,68000,0,F,34.06,0,680,684,682,debt_consolidation,104882,130051,53.8
116,18675,14.99,10+ years,OWN,39000,1,C,25.3,0,710,714,712,credit_card,38954,57600,67.6
117,6000,13.67,< 1 year,RENT,74000,1,C,7.4,0,725,729,727,debt_consolidation,28728,36104,27.7
119,27000,10.42,7 years,RENT,85000,1,B,19.94,0,675,679,677,debt_consolidation,121790,133395,95.3
120,9500,11.99,10+ years,OWN,28000,1,B,33.73,0,735,739,737,debt_consolidation,19429,40071,7.5
122,10000,12.99,10+ years,MORTGAGE,62000,0,B,20.62,1,680,684,682,debt_consolidation,112422,137572,62
125,8000,11.99,3 years,RENT,50000,1,C,26.77,0,705,709,707,debt_consolidation,78727,89686,40.5
127,15000,13.49,2 years,RENT,96000,1,C,6.44,0,695,699,697,debt_consolidation,19968,38700,51.6
128,32000,11.99,10+ years,RENT,250000,1,B,10.86,4,680,684,682,debt_consolidation,114757,142272,48.9
129,6500,15.05,3 years,MORTGAGE,76000,1,C,29.75,0,705,709,707,debt_consolidation,501468,548857,38.9
131,13000,15.05,3 years,RENT,60000,1,C,13.16,0,660,664,662,credit_card,22689,33244,69.1
132,7500,9.49,10+ years,MORTGAGE,72000,1,B,28.75,3,665,669,667,debt_consolidation,391453,411276,58.9
133,14825,20.49,10+ years,MORTGAGE,52000,0,E,11.82,0,715,719,717,debt_consolidation,220186,273111,39.1
134,18000,13.33,7 years,RENT,77000,1,C,17.81,0,660,664,662,debt_consolidation,40978,66564,43
135,5000,10.49,10+ years,MORTGAGE,56000,1,B,30.58,5,685,689,687,home_improvement,145680,184861,79.4
136,9825,11.39,4 years,MORTGAGE,48000,1,B,20.78,0,730,734,732,credit_card,60271,78129,13.2
137,8000,7.89,1 year,RENT,94000,1,A,2.68,0,690,694,692,other,29686,43900,30.8
138,3000,13.49,4 years,OWN,18000,1,C,15.07,0,705,709,707,vacation,4901,10250,34.8
139,15000,10.49,6 years,RENT,80000,1,B,27.62,3,675,679,677,credit_card,98403,95710,90.9
140,8000,9.75,10+ years,MORTGAGE,60000,1,B,22.98,2,665,669,667,medical,135787,174632,83.8
141,15775,20,1 year,MORTGAGE,85000,1,D,17.18,1,665,669,667,debt_consolidation,170959,242000,59.2
143,10000,11.53,10+ years,OWN,35000,1,B,33.3,3,670,674,672,debt_consolidation,26473,57882,89.1
144,5000,10.75,6 years,RENT,30000,1,B,16.44,0,695,699,697,debt_consolidation,7329,29499,12.6
145,16000,12.29,10+ years,MORTGAGE,96000,1,C,28.68,1,715,719,717,debt_consolidation,318720,375687,36.9
146,10000,12.62,3 years,OWN,60000,1,C,26,0,680,684,682,house,71334,81668,23.8
148,35000,13.18,3 years,MORTGAGE,115000,1,C,5.15,0,710,714,712,debt_consolidation,307856,341186,71.6
150,5000,14.99,4 years,MORTGAGE,130000,0,C,9.23,0,710,714,712,vacation,280737,305345,52.7
152,20000,7.89,2 years,RENT,75000,1,A,17.34,0,690,694,692,credit_card,50317,76766,47.2
154,25000,15.99,10+ years,MORTGAGE,101000,1,C,18.73,1,660,664,662,credit_card,354040,378753,55.2
156,10000,15.31,,RENT,61992,0,C,15.91,3,660,664,662,credit_card,27517,56703,27.8
159,40000,8.59,< 1 year,MORTGAGE,200000,1,A,14.26,0,735,739,737,debt_consolidation,553828,635119,84.3
161,15000,6.97,10+ years,MORTGAGE,67200,1,A,13.91,3,680,684,682,debt_consolidation,225340,264455,63.4
163,20000,16.29,10+ years,MORTGAGE,103500,1,D,24.93,0,700,704,702,debt_consolidation,248435,285971,76.4
166,14400,14.46,5 years,OWN,120000,1,C,28.2,0,680,684,682,other,230997,319251,38.5
167,3000,8.67,< 1 year,RENT,60000,0,B,16.66,0,675,679,677,debt_consolidation,29551,35670,55.6
168,20000,14.49,10+ years,RENT,48000,1,C,14.7,0,675,679,677,credit_card,20464,28628,70.8
169,32000,7.07,10+ years,MORTGAGE,250000,1,A,13.45,0,725,729,727,credit_card,244988,392808,55.9
171,1000,11.48,10+ years,OWN,55000,1,B,15.14,0,665,669,667,credit_card,22246,35801,76.5
172,15000,10.49,7 years,MORTGAGE,115000,1,B,13.45,1,660,664,662,debt_consolidation,303561,333235,49.2
174,16800,10.99,10+ years,RENT,44000,1,B,28.34,0,685,689,687,debt_consolidation,32618,52049,69.7
175,10000,13.33,,MORTGAGE,40000,1,C,15.51,0,680,684,682,debt_consolidation,142212,182250,47
182,35000,9.99,3 years,MORTGAGE,137500,0,B,29.14,0,730,734,732,credit_card,299489,451010,36.6
183,16000,14.99,10+ years,MORTGAGE,101000,1,C,8.56,1,660,664,662,debt_consolidation,110516,141277,81
184,19800,7.97,10+ years,MORTGAGE,99000,1,A,18.83,0,780,784,782,debt_consolidation,28742,93448,33.8
186,35000,21,10+ years,MORTGAGE,115000,0,E,11.58,0,685,689,687,debt_consolidation,326814,358392,73.7
188,24000,14.98,2 years,RENT,112000,1,C,24.7,0,700,704,702,debt_consolidation,77907,99391,57.6
189,7000,16.02,10+ years,RENT,70000,1,C,11.97,0,675,679,677,debt_consolidation,18232,30800,59.7
190,12000,11.49,2 years,RENT,94750,1,B,10.37,3,685,689,687,debt_consolidation,35581,55460,29.2
192,11200,7.49,< 1 year,RENT,85000,1,A,9.43,0,765,769,767,debt_consolidation,24769,47157,18.4
193,20050,13.66,,RENT,49000,0,C,25.96,0,680,684,682,debt_consolidation,211536,189718,43.7
194,11500,18.99,10+ years,MORTGAGE,32000,1,D,16.65,1,705,709,707,debt_consolidation,5827,33800,17.2
197,14000,14.99,10+ years,MORTGAGE,170000,0,C,13.77,0,675,679,677,debt_consolidation,357632,399175,77.7
198,18500,15.31,7 years,OWN,44000,1,C,31.9,0,670,674,672,debt_consolidation,37769,52227,57.1
199,9350,24.85,4 years,RENT,36000,1,E,32.13,0,660,664,662,debt_consolidation,22968,41411,38
202,11000,11.53,< 1 year,RENT,48500,1,B,12.27,0,675,679,677,debt_consolidation,19504,24935,83.5
203,6000,5.32,3 years,MORTGAGE,60000,1,A,13.5,1,750,754,752,major_purchase,28563,120135,4.9
205,28000,16.59,10+ years,RENT,72500,1,D,21.34,0,685,689,687,credit_card,53493,73083,80.9
206,20000,15.31,3 years,OWN,160000,1,C,9.45,1,675,679,677,debt_consolidation,361395,414087,47.8
209,10000,10.91,,RENT,32000,1,B,13.73,0,700,704,702,debt_consolidation,15854,44400,35.7
210,10000,18.55,10+ years,MORTGAGE,70000,1,E,30.05,0,700,704,702,other,195911,241400,90.8
211,28000,14.99,2 years,MORTGAGE,100000,1,C,31.17,2,690,694,692,debt_consolidation,271109,326849,42.8
212,10000,13.59,,MORTGAGE,31200,1,C,34.71,0,710,714,712,debt_consolidation,113280,159192,27.4
213,16425,25.57,5 years,MORTGAGE,55000,1,F,11.91,0,660,664,662,debt_consolidation,191431,201525,70.2
214,4625,10.75,10+ years,MORTGAGE,28000,1,B,22.12,0,775,779,777,home_improvement,7854,38600,11
215,13000,6.24,4 years,OWN,35000,1,A,26.86,0,705,709,707,credit_card,47571,131000,46.8
216,6000,7.24,1 year,RENT,45000,1,A,17.63,0,680,684,682,credit_card,33327,47105,53.7
217,8000,14.99,10+ years,OWN,38000,1,C,10.08,0,705,709,707,other,183502,198297,20.5
220,15000,11.99,1 year,RENT,36000,1,B,19.03,0,665,669,667,credit_card,37471,46276,90.9
222,7000,11.99,< 1 year,MORTGAGE,17500,1,B,20.28,0,710,714,712,debt_consolidation,34721,52794,30.5
223,10000,16.02,3 years,MORTGAGE,120000,1,C,19.63,1,670,674,672,home_improvement,594217,639628,85.6
224,8000,15.59,10+ years,RENT,33000,0,C,31.82,0,665,669,667,debt_consolidation,24395,35780,66
226,18450,13.99,5 years,MORTGAGE,49200,1,C,14.22,0,695,699,697,debt_consolidation,14773,19000,67
228,35000,13.44,10+ years,OWN,120000,1,C,25.23,0,710,714,712,debt_consolidation,118160,168266,68.3
230,8000,7.89,10+ years,MORTGAGE,70000,1,A,17.5,0,665,669,667,debt_consolidation,43268,67578,32
231,15000,5.32,10+ years,MORTGAGE,85000,1,A,14.61,0,740,744,742,debt_consolidation,43912,140798,41.6
232,14400,10.91,< 1 year,MORTGAGE,70000,1,B,11.85,1,690,694,692,debt_consolidation,651441,674615,42.6
233,35000,11.99,7 years,MORTGAGE,458000,1,C,19.67,0,715,719,717,debt_consolidation,405096,503769,84
234,4200,6.99,3 years,MORTGAGE,80000,1,A,17.19,0,685,689,687,debt_consolidation,114852,152795,94.2
235,3600,13.49,10+ years,RENT,25000,1,C,18.34,1,665,669,667,debt_consolidation,10797,14100,77.2
236,35000,7.89,3 years,MORTGAGE,280000,1,A,7.98,0,710,714,712,debt_consolidation,112610,149711,80.6
239,16500,17.86,5 years,OWN,75000,0,D,21.04,0,665,669,667,debt_consolidation,46735,66876,67
240,40000,7.49,< 1 year,MORTGAGE,335000,1,A,16.71,0,710,714,712,debt_consolidation,1075136,1149166,63.6
242,12000,12.79,10+ years,MORTGAGE,57000,1,C,9.24,1,685,689,687,debt_consolidation,328571,346657,68.7
244,15000,13.98,9 years,MORTGAGE,55000,1,C,18.48,0,675,679,677,credit_card,184355,202313,60.5
246,20000,11.99,4 years,OWN,60000,1,B,25.28,0,690,694,692,debt_consolidation,189314,245334,51.6
248,13000,18.99,10+ years,OWN,42000,1,D,20.66,1,675,679,677,debt_consolidation,116001,102775,67.1
249,4800,12.74,6 years,MORTGAGE,50000,1,C,15,0,700,704,702,car,17405,46293,31.6
251,15000,13.11,3 years,MORTGAGE,85000,0,B,12.45,0,720,724,722,credit_card,,,67.4
252,18000,14.49,6 years,RENT,99600,1,C,33.59,0,675,679,677,debt_consolidation,100536,130966,85
255,3500,12.74,< 1 year,RENT,22000,1,C,30.17,0,695,699,697,debt_consolidation,26957,52671,18.1
257,12000,5.32,10+ years,MORTGAGE,92000,1,A,10.59,0,745,749,747,home_improvement,297763,321131,24.3
259,5000,8.24,4 years,RENT,60000,1,B,10.64,0,675,679,677,debt_consolidation,14684,34776,36.2
260,21600,11.99,1 year,MORTGAGE,60000,1,B,20.46,0,725,729,727,home_improvement,172975,205045,2.5
261,2000,11.44,7 years,RENT,42000,0,B,12.37,0,675,679,677,debt_consolidation,9209,30622,7.7
263,6000,12.74,< 1 year,RENT,90000,1,C,10.43,0,695,699,697,debt_consolidation,35921,45187,42
264,8000,16.99,< 1 year,MORTGAGE,48000,1,D,13.4,0,675,679,677,debt_consolidation,33097,37097,76.6
266,9600,9.16,7 years,MORTGAGE,98000,1,B,18.58,1,690,694,692,debt_consolidation,29473,79107,50.6
267,10000,11.53,4 years,MORTGAGE,40000,1,B,18.69,0,665,669,667,credit_card,81770,94267,43.2
268,30000,8.24,10+ years,MORTGAGE,130000,1,B,8.72,0,700,704,702,credit_card,293500,326602,46.3
271,17650,23.99,6 years,MORTGAGE,41000,1,E,28.83,0,690,694,692,debt_consolidation,149687,173036,68.7
272,3000,20,< 1 year,MORTGAGE,55000,1,D,21.47,0,685,689,687,other,36030,45515,99.9
273,30000,13.33,10+ years,MORTGAGE,65000,1,C,30.62,0,665,669,667,credit_card,265748,300274,57.7
275,6000,12.74,10+ years,OWN,50000,1,C,19.35,1,665,669,667,major_purchase,162122,214190,8
276,40000,13.59,10+ years,RENT,220000,1,C,5.83,1,755,759,757,other,18833,101340,0.3
277,15000,9.17,5 years,RENT,150000,0,B,9.91,1,660,664,662,credit_card,35232,67687,69.3
280,18000,7.49,2 years,MORTGAGE,177000,1,A,11.83,0,680,684,682,debt_consolidation,310274,388830,84.1
283,7000,12.29,< 1 year,RENT,32000,1,C,7.54,0,665,669,667,debt_consolidation,7380,10400,71
285,14800,22.74,6 years,OWN,37000,1,E,21.05,1,685,689,687,debt_consolidation,19747,45588,51.9
288,15000,7.59,10+ years,RENT,112000,1,A,23.73,0,715,719,717,credit_card,61777,134336,28.8
291,7000,10.49,4 years,OWN,27000,1,B,26.49,0,750,754,752,debt_consolidation,38343,60435,19.7
294,25600,19.99,6 years,RENT,199000,1,D,19.58,0,675,679,677,debt_consolidation,171432,176677,88.9
295,9125,18.99,3 years,OWN,100000,0,E,13.86,0,705,709,707,home_improvement,71912,81116,65
299,30000,20.99,3 years,MORTGAGE,92000,0,E,15.01,1,675,679,677,debt_consolidation,54454,65624,97.8
302,9000,5.32,< 1 year,MORTGAGE,75000,1,A,4.72,0,715,719,717,debt_consolidation,256254,324700,10.1
304,19750,20.49,1 year,RENT,55000,1,E,28.56,0,670,674,672,debt_consolidation,125109,111625,70.6
305,9800,18.06,10+ years,MORTGAGE,92000,1,D,24.39,3,680,684,682,debt_consolidation,500700,525216,59.4
308,16000,14.99,10+ years,MORTGAGE,49700,1,C,27.67,0,730,734,732,debt_consolidation,34961,48379,98
310,10000,9.93,4 years,MORTGAGE,38000,1,B,4.49,0,695,699,697,debt_consolidation,183455,200094,16.9
314,36000,15.05,10+ years,MORTGAGE,103000,1,C,24.47,0,720,724,722,credit_card,125572,236318,38.6
316,3600,15.05,10+ years,MORTGAGE,50000,1,C,18.74,0,685,689,687,debt_consolidation,170423,202979,24.1
317,18000,25.57,3 years,RENT,67000,0,F,26.92,0,680,684,682,debt_consolidation,126271,141379,92.3
318,20000,14.99,8 years,MORTGAGE,85000,1,C,21.02,0,710,714,712,debt_consolidation,312263,335721,62.5
321,21975,19.19,10+ years,RENT,68000,0,E,23.63,0,670,674,672,debt_consolidation,39373,62570,31.6
322,4800,7.97,1 year,OWN,42000,1,A,21.01,0,685,689,687,debt_consolidation,24052,42600,41.6
324,10075,19.99,1 year,RENT,28000,1,E,19.8,0,660,664,662,car,14654,19451,69.2
325,10000,12.99,,MORTGAGE,31000,0,C,11.65,0,685,689,687,debt_consolidation,9779,20800,47
326,21000,15.31,8 years,MORTGAGE,50000,1,C,19.62,2,670,674,672,debt_consolidation,51629,54550,67.2
328,8000,7.99,10+ years,OWN,62000,1,A,17.83,3,705,709,707,debt_consolidation,315581,372030,35.1
329,29950,20.2,< 1 year,RENT,140000,0,E,13.39,2,670,674,672,debt_consolidation,56092,101426,22
330,14400,16.02,8 years,RENT,43154,1,C,17.88,0,700,704,702,other,45368,52866,28.2
331,12000,7.89,8 years,RENT,45000,1,A,19.07,0,720,724,722,credit_card,151024,187584,31.5
333,12000,8.49,8 years,MORTGAGE,52000,0,B,23.1,0,680,684,682,debt_consolidation,107361,127298,31
334,24925,26.06,8 years,MORTGAGE,105000,1,G,30.75,1,685,689,687,debt_consolidation,384500,449386,84.6
335,15000,10.49,10+ years,MORTGAGE,102000,1,B,15.86,0,750,754,752,debt_consolidation,152276,223393,31
336,14000,15.59,10+ years,MORTGAGE,85000,1,C,6.71,0,675,679,677,debt_consolidation,361635,691500,32.9
339,40000,7.24,1 year,MORTGAGE,100000,1,A,18.48,0,750,754,752,debt_consolidation,301295,376437,44.5
341,35000,9.49,5 years,RENT,120000,1,B,17.2,0,745,749,747,credit_card,94920,161645,51.6
344,11900,15.61,3 years,RENT,35000,1,D,16.8,0,695,699,697,other,10211,27425,39.4
345,4500,8.24,3 years,RENT,31000,1,B,12.23,0,675,679,677,debt_consolidation,31955,39391,44.8
347,21000,10.99,2 years,RENT,175000,1,B,11.66,0,680,684,682,debt_consolidation,47933,71564,33.3
353,12000,13.67,4 years,MORTGAGE,70000,0,C,25,0,685,689,687,debt_consolidation,221060,271200,40.7
360,5000,13.33,2 years,MORTGAGE,25000,1,C,17.57,0,665,669,667,medical,155629,159334,98.9
362,12000,12.88,8 years,RENT,45000,1,C,4.8,0,665,669,667,debt_consolidation,2747,8400,32.7
363,11400,15.31,1 year,RENT,46000,0,C,14.32,0,675,679,677,debt_consolidation,25775,28527,79.1
364,12000,7.97,< 1 year,MORTGAGE,43000,1,A,35.53,0,685,689,687,debt_consolidation,234857,262699,49.8
366,5000,13.49,6 years,RENT,70000,1,C,16.48,3,665,669,667,other,30847,41295,54.8
370,5000,10.75,2 years,RENT,35000,1,B,4.1,0,710,714,712,debt_consolidation,4733,16000,29.6
371,16800,14.99,10+ years,RENT,65000,1,C,24.67,0,690,694,692,debt_consolidation,44142,60194,97.2
372,15000,19.19,8 years,MORTGAGE,63000,1,E,28.65,0,670,674,672,debt_consolidation,57550,77035,56.9
374,12000,14.08,10+ years,MORTGAGE,70000,1,C,28.36,2,665,669,667,debt_consolidation,132564,207048,73.1
376,28000,5.32,10+ years,MORTGAGE,220000,1,A,9.22,0,745,749,747,debt_consolidation,502896,663115,17.9
377,4000,12.62,10+ years,MORTGAGE,98000,1,C,30.85,0,690,694,692,debt_consolidation,263328,362725,47.7
379,11900,16.99,10+ years,OWN,62000,1,D,16.76,3,705,709,707,debt_consolidation,272194,298210,32
380,20000,6.49,10+ years,MORTGAGE,88000,1,A,9.07,0,705,709,707,debt_consolidation,180758,213170,49.6
381,6000,6,1 year,RENT,43000,1,C,17.61,4,675,679,677,credit_card,55938,53998,66.1
383,8000,11.49,9 years,MORTGAGE,63000,1,B,24.38,0,715,719,717,debt_consolidation,50479,80600,29.4
384,35000,16.99,4 years,MORTGAGE,125000,1,D,17.29,0,675,679,677,credit_card,147167,219310,67.5
385,16000,10.64,< 1 year,RENT,44000,1,B,31.02,0,715,719,717,debt_consolidation,79312,93296,78.3
386,40000,7.49,10+ years,MORTGAGE,124000,1,A,18.1,0,745,749,747,debt_consolidation,350891,426288,74.6
387,4800,15.05,3 years,MORTGAGE,36120,1,C,27.84,0,670,674,672,debt_consolidation,34500,45089,53.4
388,18000,7.07,10+ years,MORTGAGE,78000,1,A,25.54,0,730,734,732,credit_card,221345,320451,13.3
390,20000,9.75,2 years,MORTGAGE,50000,1,B,13.71,0,720,724,722,debt_consolidation,99457,144200,43.1
391,35000,22.74,10+ years,OWN,122000,1,E,10.42,0,670,674,672,debt_consolidation,298335,353303,46.9
392,1500,12.05,,OWN,22800,0,C,23.63,0,680,684,682,home_improvement,12970,16300,79.6
396,18000,8.39,< 1 year,MORTGAGE,125000,1,B,10.87,1,685,689,687,credit_card,424652,446386,60.8
398,12800,12.62,10+ years,MORTGAGE,50000,1,C,18.03,0,685,689,687,credit_card,31992,64971,34.8
400,17000,7.89,10+ years,MORTGAGE,90000,1,A,11.53,0,715,719,717,credit_card,295450,323504,70.5
402,16000,13.49,10+ years,MORTGAGE,66000,1,C,11.24,0,720,724,722,credit_card,254619,300351,31.9
403,5000,14.08,10+ years,MORTGAGE,75000,1,C,20.78,1,660,664,662,other,327653,352524,58.2
404,10075,18.55,5 years,MORTGAGE,60000,1,E,33.9,0,675,679,677,debt_consolidation,61109,72724,99.9
405,23000,9.17,< 1 year,RENT,70000,1,B,13.47,0,760,764,762,debt_consolidation,297072,327515,76.1
406,16000,9.17,2 years,MORTGAGE,145000,0,B,12.31,1,690,694,692,debt_consolidation,138441,185111,35.8
408,22000,9.99,10+ years,MORTGAGE,110000,1,B,34.97,0,705,709,707,credit_card,255541,343661,57.2
410,15000,10.91,6 years,MORTGAGE,48000,1,B,25.23,0,670,674,672,credit_card,104764,127505,61.7
411,6025,9.44,10+ years,RENT,55000,1,B,1.31,0,730,734,732,credit_card,3866,24100,16
413,9600,13.11,6 years,RENT,48000,0,B,15.3,0,690,694,692,debt_consolidation,14511,28400,84.6
415,8500,11.49,10+ years,OWN,66000,1,B,13.76,1,665,669,667,debt_consolidation,71033,100131,35.6
416,10000,13.11,2 years,RENT,55000,0,B,22.76,0,675,679,677,debt_consolidation,56029,67147,54.9
417,15000,21.45,< 1 year,OWN,43000,1,D,31.48,0,710,714,712,debt_consolidation,48179,79004,60.8
418,28775,25.83,2 years,RENT,80000,0,G,26.94,0,680,684,682,debt_consolidation,177725,186828,57.3
419,10000,12.79,9 years,RENT,88000,1,C,11.55,2,675,679,677,debt_consolidation,46831,69913,41.9
420,20000,19.52,10+ years,RENT,50000,0,E,6.7,1,680,684,682,debt_consolidation,10196,18100,34.5
423,17000,10.64,10+ years,MORTGAGE,64000,0,B,22.6,0,700,704,702,debt_consolidation,297644,333133,72.6
424,12000,11.39,4 years,MORTGAGE,80000,1,B,13.05,0,790,794,792,home_improvement,39409,60307,0.9
427,2200,18.06,8 years,OWN,30000,1,D,18.28,0,700,704,702,debt_consolidation,14446,20650,95.2
